ATC_C,ATC_H,ATC_N,ATC_O,ATC_S
25.27,13.19,52.75,8.06,0.73
28.21,15.38,49.36,7.05,0.0
28.19,11.74,53.36,5.7,1.01
26.72,12.95,52.34,7.71,0.28
25.43,14.22,52.16,7.33,0.86
26.58,13.62,52.49,6.98,0.33
26.67,12.82,53.33,7.18,0.0
25.64,14.29,52.38,7.69,0.0
30.14,12.33,51.03,6.51,0.0
27.3,12.16,52.85,7.69,0.0
25.78,11.5,54.36,8.36,0.0
27.98,14.51,51.81,5.7,0.0
27.57,12.62,53.16,6.64,0.0
24.24,13.42,55.41,6.93,0.0
27.84,13.4,51.89,6.53,0.34
25.4,13.71,53.23,7.66,0.0
27.56,13.78,51.94,6.36,0.35
25.27,13.19,53.85,6.96,0.73
25.69,11.46,54.51,8.33,0.0
27.46,13.01,52.89,6.65,0.0
25.19,11.28,56.02,7.14,0.38
24.23,11.26,55.29,8.87,0.34
26.64,12.8,52.25,8.3,0.0
27.69,12.4,53.72,6.2,0.0
24.56,13.68,55.09,6.67,0.0
25.26,15.44,51.58,7.72,0.0
26.2,13.55,53.61,6.63,0.0
25.0,11.15,56.08,7.43,0.34
24.76,13.5,53.38,8.36,0.0
27.6,13.64,50.97,7.14,0.65
26.77,14.96,51.57,6.69,0.0
24.11,15.6,52.84,6.74,0.71
25.17,13.61,53.74,7.48,0.0
27.47,12.91,51.92,7.42,0.27
27.34,10.86,52.43,8.99,0.37
28.92,12.92,51.69,6.46,0.0
30.2,14.85,50.0,4.95,0.0
28.7,12.65,51.23,7.41,0.0
25.91,13.36,51.82,8.91,0.0
26.88,12.56,53.27,7.04,0.25
26.35,13.85,53.04,6.76,0.0
25.45,13.84,54.02,6.7,0.0
24.51,14.05,53.27,8.17,0.0
24.57,14.22,52.16,9.05,0.0
24.59,14.43,53.11,7.87,0.0
25.19,13.74,53.44,7.63,0.0
27.0,13.67,53.0,6.33,0.0
25.67,13.79,52.49,8.05,0.0
27.45,14.01,50.7,7.84,0.0
29.41,12.46,52.25,5.88,0.0
24.63,14.29,54.68,6.4,0.0
26.73,12.9,54.38,5.99,0.0
29.54,13.28,50.41,6.78,0.0
25.67,16.0,51.0,6.67,0.67
30.56,11.11,52.22,6.11,0.0
25.0,14.52,52.82,6.85,0.81
25.42,10.85,54.58,7.8,1.36
26.96,13.04,54.2,5.51,0.29
26.11,12.17,53.41,8.31,0.0
28.96,12.57,51.64,6.83,0.0
26.22,12.59,53.5,6.99,0.7
26.82,10.89,53.07,9.22,0.0
24.91,15.61,50.93,8.55,0.0
24.62,14.07,50.75,10.55,0.0
25.23,14.11,53.75,6.31,0.6
26.53,12.24,53.4,7.82,0.0
26.46,13.23,52.91,7.41,0.0
25.28,13.75,54.65,5.58,0.74
27.56,13.78,50.53,8.13,0.0
27.13,12.96,52.63,7.29,0.0
26.07,11.54,54.7,7.69,0.0
26.34,12.76,53.91,7.0,0.0
27.59,13.79,50.57,7.66,0.38
26.89,14.57,51.82,6.72,0.0
